lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-86.7844444,36.1658333,7/15/1953 13:00,nashville,tn,us,cylinder,300,cylindrical object &quot;examining&quot; trees,1953,7,15
-90.3311111,38.7544444,8/1/1953 12:00,berkeley,mo,us,fireball,300,Early 50&#39s sighting in Berkeley&#44 Missouri,1953,8,1
-121.6597222,40.8825,2/15/1954 19:30,burney,ca,us,disk,1800,Observance of one large and two smaller UFOs in a comparitive prolonged period of time.,1954,2,15
-91.4097222,39.9355556,5/26/1954 4:30,quincy (rural),il,us,disk,7,Saucer shaped object with lights and a dome seen near Quincy&#44 Il.,1954,5,26
-76.8233333,42.6763889,6/1/1954 6:00,ovid,ny,us,disk,600,I saw two silver/gray objects of different shapes.,1954,6,1
-122.3105556,37.9158333,6/1/1954 19:00,el cerrito,ca,us,light,300,It was a Sunday evening and must have been in November of Decemberme to Berkeley because it was dark and I needed to be in Berkeley for,1954,6,1
-75.46,39.8005556,6/15/1954 11:45,claymont,de,us,disk,10,It was just before noon on a warm sunny  June day&#44 I was 16 yrs old. Riding in the car with my brother-inlaw driving&#44 my sister riding,1954,6,15
-122.0638889,37.9063889,7/7/1954 20:00,walnut creek,ca,us,unknown,300,I have not reported this before. I feel it should be recorderd somewhere. My friend and I used to take time-lapse photos of the stars a,1954,7,7
-85.7694444,39.785,7/15/1954 14:00,greenfield (rural area&#44 6 miles so.),in,us,cigar,300,This all occured when I was still a child and living on a farm. My mother&#44 our next door neigbor&#39s wife&#44 and myself&#44 were standing outs,1954,7,15
-73.4458333,40.7325,8/1/1954 12:00,farmingdale,ny,us,oval,1800,Sphere  -30 min. - Stationary&#44 bright object over Jet Factory  -1954,1954,8,1
-76.8536111,41.6563889,8/1/1954 21:00,canton,pa,us,disk,30,Large&#44 silver-blue disc shaped oject which gave off high pitched sound and was slowly turning on its axis and then suddenly sped away.,1954,8,1
-122.2916667,47.1855556,8/15/1954 21:00,puyallup,wa,us,oval,2,The object was hovering above the treetops over the road a short distance in front of my car...,1954,8,15
-94.1016667,30.0858333,9/9/1954 12:30,beaumont,tx,us,disk,300,Aprox. 30 Disk shaped UFOs fell out of clouds got in V formatin  and shot toward a black rain cloud avoiding a Jet Plane.,1954,9,9
-74.0647222,40.3469444,12/15/1954 23:10,red bank,nj,us,circle,300,Bright orange light&#44 about the size of a pea at arms length&#44 moving slowly from the west to NE.  I was a soldier&#44 stationed at Ft. Monm,1954,12,15
-81.0230556,29.2105556,6/15/1955 21:00,daytona beach,fl,us,fireball,120,Three fireballs moved slowly along the beach&#44 then suddenly accelerated and flew straight up into the night sky and disappeared.,1955,6,15
-74.2130556,39.5975,6/23/1955 7:00,beach haven park,nj,us,disk,60,3 women hanging clothes saw a UFO come down over bay&#44 hover for 30 sec.&#44then take off so fast it seemed to disappear.,1955,6,23
-101.8547222,33.5777778,6/30/1955 13:00,lubbock,tx,us,cigar,120,Cigar shaped cloud and left very fast.,1955,6,30
-101.9727778,35.8655556,6/30/1955 21:00,dumas,tx,us,light,600,1955 - Air Force jets pursue lights over small Texas community.,1955,6,30
-94.4152778,39.0911111,8/8/1955 1:00,independence,mo,us,fireball,300,Flaming ball of light making right angle turns seen from front porch on a hot summer&#39s night.,1955,8,8
-76.7794444,39.0066667,3/20/1956 20:00,bowie,md,us,disk,900,Unusual object seen from different viewpoints.,1956,3,20
-96.6780556,34.7744444,5/17/1956 10:22,ada,ok,us,circle,20,This was a result of a prayer or telepathic request.  Seti is a load of crap.,1956,5,17
-90.0488889,35.1494444,6/1/1956 20:00,memphis,tn,us,cylinder,900,Object was glowing dull orange bent cylinder. Hovered noiselessly over RR tracks for a time&#44 then took off straight up.,1956,6,1
-81.5191667,41.0813889,6/6/1956 22:00,akron,oh,us,other,30,Akron Ohio&#44 1956&#44 Bright object similar to flying wing. 10 pm. See full description.,1956,6,6
-122.1419444,37.4419444,6/15/1956 18:00,palo alto,ca,us,fireball,600,Fireball landing&#44 and when inspection attempted&#44 retreating.,1956,6,15
-84.4569444,39.1619444,6/16/1956 13:00,cincinnati,oh,us,disk,1200,glass like&#44you could see threw&#44craft was 20 feet in front of me&#44as i stepped closer&#44 a ramp out of the side of the craft opened up and,1956,6,16
-120.0597222,36.9613889,6/24/1956 14:00,madera,ca,us,sphere,120,Half spherical object with portholes on the side.  Mid 1950&#39s in Central California.  Day time.,1956,6,24
-89.5180556,37.3058333,6/30/1956 13:00,cape girardeau,mo,us,diamond,300,Angular UFO sighted as a child,1956,6,30
-86.085,32.9947222,8/1/1956 0:00,bradford,al,us,sphere,20,moving sparkling white/ yellowish/orange/flat black sphere paused 20 feet over my head,1956,8,1
-93.5913889,33.6669444,9/20/1956 16:00,hope,ar,us,circle,1200,Sitting on a pond bank on sunny afternoon when 9 saucers appeared at 12:00 o&#39clock at a very high altitude.  They were silver in color,1956,9,20
-82.9988889,39.9611111,12/1/1956 23:00,columbus,oh,us,formation,240,A &quot;V&quot;  shape set of lights either on one large&#44 silent aircraft&#44 or 5 different aircraft flying in formation. No noise heard.,1956,12,1
-118.2427778,34.0522222,3/15/1957 15:00,los angeles,ca,us,disk,900,There were about 5-7 saucers&#44 gray color in a V shape form&#44 a mass sighting of about 200 or more people.,1957,3,15
-73.9130556,41.9266667,5/25/1957 13:00,rhinebeck,ny,us,diamond,20,KITE SHAPED OBJECT CHANGED 3 COLORS AND JIGGED UP AND DOWN WHILE FLASHING&#44 VERY&#44 VERY BRIGHT.,1957,5,25
-70.1886111,44.4752778,6/14/1957 10:00,livermore falls,me,us,diamond,300,A recalled childhood event,1957,6,14
-93.1336111,35.2783333,6/30/1957 18:00,russellville,ar,us,sphere,600,Huge orange ball floating over Russellville&#44 Arkansas&#44 in late 50s.,1957,6,30
-80.7544444,37.6513889,7/1/1957 13:00,talcott,wv,us,sphere,15,A sphere that looked like a white light came across the horizon from West to East&#44 an Air Force Jet followed about 3-4 sec later.,1957,7,1
-118.0569444,34.1072222,7/15/1957 12:00,temple city,ca,us,light,900,Lights over Mt Baldy California 1957 as seen by ten honest men,1957,7,15
-118.1883333,33.7669444,7/15/1957 15:00,long beach,ca,us,disk,120,Three disks stationary in a triangle formation during the day surrounded by a mirage effect seemingly caused by heat.,1957,7,15
-98.5891667,33.1069444,9/1/1957 16:00,graham,tx,us,sphere,30,Three shiny spheres over Graham Texas,1957,9,1
-93.0930556,44.9444444,10/5/1957 19:00,st. paul,mn,us,light,45,A bright light was apparently chased by several military jets.,1957,10,5
-73.1861111,44.4913889,4/17/1958 21:30,winooski,vt,us,oval,5400,object hovered&#44 landed then left headed north traveling at 60Kmph&#44 being tracked across USA by several radar sites.,1958,4,17
-98.3416667,40.925,6/1/1958 22:30,grand island,ne,us,circle,180,Hovering craft 60-75&#39 over roadway,1958,6,1
-90.8227778,29.7955556,6/30/1958 23:00,thibodaux,la,us,fireball,90,Historical Sighting  I have related this many times&#44 but never committed it to writing until now. I was motivated to write this by the,1958,6,30
-122.5686111,38.1075,7/15/1958 17:30,novato,ca,us,disk,90,saw saucer in large grass field it took off straight over vehicle went into sky and dissappeared,1958,7,15
-70.3222222,43.5780556,8/8/1958 15:00,scarborough,me,us,disk,600,I was a young girl around 1958 when I saw a saucer-shaped craft on the ground in daylight resting between two sets of power lines,1958,8,8
-83.7133333,33.7947222,8/15/1958 14:00,monroe,ga,us,oval,120,OVAL SHAPE SEEN IN OR AROUN 08/1958 IN MONROE GA,1958,8,15
-97.2177778,47.1041667,9/7/1958 19:00,arthur,nd,us,unknown,900,Two lights of alternating color traveling and stopping at unexplainable rates of speed.,1958,9,7
-121.1766667,44.3530556,10/25/1958 20:00,terrebonne,or,us,unknown,120,Piercing&#44 shrill tone.,1958,10,25
-74.6011111,40.7758333,4/15/1959 21:00,mendham,nj,us,disk,300,A saucer-shaped UFO hovered at eye-level about fifty feet away for five minutes&#44 then took off at great speed.,1959,4,15
-122.2941667,37.9772222,5/5/1959 9:00,el sobrante,ca,us,circle,120,Bright&#44 yellow/orange circle&#44 10 ft. in diameter&#44 silent&#44 slow moving&#44 5mph&#44 50 ft. above ground-2 minutes&#44 chased &amp; threw rocks at it.,1959,5,5
-87.69,42.0411111,5/15/1959 4:00,evanston,il,us,unknown,1200,Distant craft in the same part of the sky for 3 nights&#44 seen by a group,1959,5,15
-83.3977778,41.9163889,6/10/1959 13:00,monroe,mi,us,unknown,1800,Observed three very high flying  objects fly at unusual maneuvers,1959,6,10
-121.9488889,37.2872222,6/15/1959 10:00,campbell,ca,us,disk,720,3 glowing disc shaped objects,1959,6,15
-74.0063889,40.7141667,6/30/1959 20:00,new york city (bronx),ny,us,oval,1200,My husband and I didn&#39t believe in UFO&#39s until we actually saw one&#33,1959,6,30
-118.1883333,33.7669444,7/7/1959 23:00,long beach,ca,us,light,45,As a young man&#44 I would lay out in the yard at night and look at the sky--I often saw an object moving at night speed&#44 very high&#44 no no,1959,7,7
-73.6922222,42.7283333,8/13/1959 21:00,troy,ny,us,unknown,900,Single star like light zigging and zagging in night sky,1959,8,13
-117.2347222,37.7086111,9/15/1959 1:00,goldfield,nv,us,light,60,The object hovered over the pick-up&#44 and raised it from the sand,1959,9,15
-82.1886111,36.5963889,1/15/1960 22:00,bristol,va,us,disk,1200,BURNING disc  sighting 1960,1960,1,15
-80.2444444,36.0997222,2/18/1960 21:00,winston-salem,nc,us,cigar,20,It was on a Full Moonlit night&#44 while snowsledding&#44 a friend called to me and said &#44 &quot;look Bill&#44 what in the world is that?&quot;,1960,2,18
-121.4933333,38.5816667,6/1/1960 12:00,sacramento,ca,us,cigar,300,Brother sees ship and occupants...maybe more.......,1960,6,1
-94.6272222,39.1141667,6/15/1960 21:45,kansas city,ks,us,disk,900,Short visit&#33,1960,6,15
-87.65,41.85,6/18/1960 23:00,chicago,il,us,oval,3,AS I LYE IN THE NIGHT&#44 MY EYES FOCUSED ON HEAVEN&#44 FIVE DISCS SILENTLY PASSED OVER SOMETIME ROUND ELEVEN. THESE OVAL SHAPED OBJECTS GAVE,1960,6,18
-122.675,45.5236111,7/1/1960 20:00,portland,or,us,unknown,1800,Stationary Lights Over Portland OR Around 1960,1960,7,1
-88.1083333,42.9763889,7/4/1960 21:30,new berlin,wi,us,circle,300,Large&#44 slow moving craft&#44 above the clouds&#44 blinked out like a lightbulb before reaching the horizon,1960,7,4
-117.7669444,34.1008333,7/15/1960 1:00,la verne,ca,us,circle,1800,July 1960&#44 Pomona Ca&#44  two yellowish orange spheres observed by numerous people that reported to the local paper.,1960,7,15
-71.0602778,42.3583333,8/1/1960 18:00,boston,ma,us,disk,1800,Observed strange large disk like craft.,1960,8,1
-74.2286111,40.5772222,8/1/1960 18:00,carteret,nj,us,cigar,600,Cigar shapped object made no sounds&#44 moved slowly overhead and then with tremendous speed vanished,1960,8,1
-118.1883333,33.7669444,8/17/1960 21:10,long beach (terminal island),ca,us,other,5,9/17/1960 -21:10 hours-Terminal Island&#44 Califronia&#44 Four  Crescent over LBNSY- observed 4-5 seconds above broken clouds,1960,8,17
-82.5619444,36.5483333,9/15/1960 19:00,kingsport,tn,us,circle,300,An orange&#44 circular craft drifted over the house from east to west shortly after sundown.,1960,9,15
-157.8036111,21.4180556,10/10/1960 20:00,kaneohe,hi,us,light,900,AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan,1960,10,10
-118.1358333,34.6980556,2/2/1961 1:00,lancaster,ca,us,disk,180,Brilliant&#44silver disk. 50 to 55 degree angle of sight. Appears to be stationary in sky.Smaller object 1/8 the size of larger&#44same color,1961,2,2
-76.2011111,40.8202778,4/1/1961 20:00,shenandoah,pa,us,light,120,UFOs spotted coming from behind the moon,1961,4,1
-99.0180556,34.3919444,6/15/1961 20:30,frederick,ok,us,light,240,After sun down&#44 large bright white lightmoving westward at high altitude and speed.Two minutes after its passing&#44 a flight ofthree F-10,1961,6,15
-87.65,41.85,6/17/1961 19:00,chicago,il,us,disk,300,Disk shapped saucer over the city of Chicago.,1961,6,17
-90.3572222,38.5925,6/20/1961 0:00,webster groves,mo,us,circle,120,webster groves mo ciecular craft with a light searching the ground fifty years ago,1961,6,20
-77.2313889,39.8308333,7/15/1961 11:00,gettysburg,pa,us,cigar,18000,Rte 30 West&#44 near Belmont Rd. intersection  7/15/61 4 hours Gray metallic cigar craft on Herr property in field below hill,1961,7,15
-81.1644444,37.8952778,7/15/1961 23:00,mount hope,wv,us,unknown,1800,Object only visible as a streak of light at very high altitude traveled from horizon to horizon in a few seconds for a total of 6 times,1961,7,15
-122.5438889,37.9061111,8/1/1961 0:00,mill valley,ca,us,disk,180,Clear view of a &quot;flying saucer&quot;.,1961,8,1
-79.9677778,40.5327778,8/5/1961 21:15,glenshaw,pa,us,disk,900,2 scientists&#44 among 7 witnesses see disk hovering approximately 100 feet above neighbor&#39s home then yard.,1961,8,5
-79.9961111,40.4405556,8/5/1961 23:00,pittsburgh,pa,us,sphere,600,Orange yellow sphere size of small house hovers above trees 50 feet away from young girl on country lane,1961,8,5
-86.7844444,36.1658333,10/1/1961 19:00,nashville,tn,us,disk,1800,In October 1961&#44 a silvery flattened disk hovered motionless over a local school fair for more than 30 minutes.,1961,10,1
-97.5563889,33.5330556,12/26/1961 20:00,forestburg,tx,us,sphere,120,Round brilliant white object hovered and then slowly descended behind a hill in a remote area without making a noise.,1961,12,26
-81.7827778,24.5552778,1/1/1962 8:00,key west,fl,us,sphere,300,in the very early morning hours of 1962&#44 I don&#39t recall the date or month&#44 at the time I was only 10 years of age&#44 a very loud whistlei,1962,1,1
-114.0366667,40.7372222,3/3/1962 3:00,wendover,ut,us,disk,900,MY BROTHER IN LAW WHO IS FROM VANCOUVER BC. AND HAS DUAL PASSPORT WAS IN WEST WENDOVER FOR GAMBLING PURPOSES.HAVING BEEN IN THE US.NAVY,1962,3,3
-84.6486111,39.6288889,3/15/1962 10:00,camden,oh,us,sphere,600,Large &quot;sphere&quot; shaped object sighted hovering with an up and down motion.,1962,3,15
-96.6386111,32.9125,5/30/1962 20:00,garland,tx,us,disk,600,THE OBJECT APPEARED TO COME DIRECTLY TO MY HOUSE&#44 THEN  LEFT WITH FAST ZIG ZAG SPEED BACK TO SPACE.,1962,5,30
-95.9805556,36.7472222,6/1/1962 0:00,bartlesville,ok,us,unknown,120,Childhood visitation 1962&#44 possible implant&#44 first sighting 1977.  other sightings of craft on several occasions. 500 Lights On Obj,1962,6,1
-80.2866667,40.8616667,6/1/1962 12:00,ellwood city,pa,us,disk,60,came down never touched ground had mist like around it&#44 about 1 yard wide wide&#44 hovered off ground right where I was sitting for about,1962,6,1
-88.92,37.9966667,6/1/1962 21:30,benton,il,us,disk,900,Saucer shaped object in daytime nearly landed next to me.  When my mother ran out to me&#44 it flew away.,1962,6,1
-73.8619444,41.1627778,6/25/1962 2:00,ossining,ny,us,unknown,900,refueling in summer 62 ossining ny,1962,6,25
-115.5119444,34.52,6/30/1962 7:00,cadiz,ca,us,unknown,10,We saw a silver brushed sillhoutte about the size of a person floating about 1-2 ft above the ground with no features of any sort.,1962,6,30
-83.1447222,42.4894444,6/30/1962 17:30,royal oak,mi,us,disk,600,Ship over Royal Oak&#44 early 60s,1962,6,30
-73.4825,40.7441667,6/30/1962 18:00,bethpage,ny,us,triangle,300,While I was a young boy playing in my dads belair around 1962 or 1963. I saw multiple bright white lights traveling west to east about,1962,6,30
-122.3308333,47.6063889,7/1/1962 22:00,seattle,wa,us,other,30,randomly moving starlike shape,1962,7,1
-97.6022222,34.8347222,7/7/1962 2:00,lindsay,ok,us,cylinder,600,white beam of light and cylindrical object,1962,7,7
-149.0930556,64.5638889,8/15/1962 19:00,nenana,ak,us,oval,900,the object had a large spot light&#44 shining straight down towards the groung.,1962,8,15
-71.0777778,42.7761111,8/16/1962 12:00,haverhill,ma,us,disk,300,Two Silver Disks observed in broad daylight.,1962,8,16
-77.19,36.515,9/15/1962 14:00,severn (northhampton) (uk/england),nc,us,unknown,900,Car electrical system failed&#44 then recovered,1962,9,15
-87.65,41.85,10/15/1962 22:30,chicago,il,us,other,10,SITTING IN AVALON PARK ON A FALL NIGHT AT APP.1030 PM I SAW A METALIC OBJECT TRAVELING FROM E TO W I DIDNT GIVE IT MUCH THOUGHT BUT IT,1962,10,15
-74.0063889,40.7141667,12/21/1962 23:21,new york city,ny,us,cigar,900,the ufo I saw on dec&#44 21&#44 1962  in NYC has never appeared on any website I could find,1962,12,21
-112.0352778,46.5927778,1/1/1963 22:00,helena (near),mt,us,diamond,3600,Diamond shaped UFO blocks USAF runway,1963,1,1
-122.3394444,47.4363889,3/15/1963 13:00,normandy park,wa,us,cylinder,300,Pencil-like objects seen flying over the water.,1963,3,15
-110.9258333,32.2216667,4/1/1963 7:00,tucson,az,us,triangle,600,Observed in western sky @ about 100 ft. flying to the south at about 10 to25 mph Flying in formation as geese would fly,1963,4,1
-70.95,42.4666667,5/7/1963 3:00,lynn,ma,us,disk,21600,05/07/1965; @3:00am lynn&#44ma essex county usa; two abductees&#44 8 witnesses; two sauces&#44 1 burnt field,1963,5,7
-74.0063889,40.7141667,5/15/1963 7:00,new york city (brooklyn),ny,us,other,600,SILENT&#44 SUSPENDED WATER TOWER APPEARS OVER HOUSES IN SEA GATE&#44 BROOKLYN&#44 NEW YORK,1963,5,15
-90.1977778,38.6272222,6/1/1963 2:00,st. louis county,mo,us,cigar,300,Cigar shaped craft hovering over swimming pool&#44 March 1963&#44 02:00-03:00&#44 slits along edge of hull of craft,1963,6,1
-97.4522222,29.5013889,6/1/1963 8:30,gonzales,tx,us,cigar,30,Object was cigar shaped&#44lights along side and exremely fast.,1963,6,1
-95.3630556,29.7630556,6/1/1963 12:00,houston,tx,us,cigar,300,Cigar shaped UFO over north Houston&#44&#44  before the building of IAH.,1963,6,1
-117.7822222,33.5422222,6/1/1963 20:00,laguna beach (south),ca,us,light,120,USO(s) - Unidentified Submerged Object(s) -- yeh&#33 I know guys&#33 You probably only care about lights in the sky&#33 But hey I&#39m not the only,1963,6,1
-104.8208333,38.8338889,6/1/1963 23:00,colorado springs (mtns. nw of),co,us,disk,300,UFO hovered and made right angle turns before shooting off at an incredible rate of speed when approached by a jet.,1963,6,1
-73.0569444,41.2222222,6/15/1963 3:00,milford,ct,us,other,60,A solid black cylinder shape moving across the ground then rising like a shadow,1963,6,15
-93.3344444,38.3908333,7/1/1963 21:00,lincoln,mo,us,other,28800,Lights in the Sky? What are they and where did they c ome from? Benton County Missouri July 1&#441963,1963,7,1
-93.3344444,38.3908333,7/1/1963 21:12,lincoln,mo,us,other,28800,This report is based upon a witness who  said that a great armada of bright lights in the Benton county sky was so bright that it was l,1963,7,1
-71.0602778,42.3583333,7/17/1963 9:00,boston,ma,us,triangle,1800,It was a nice warm night to hang on the back porch.  I saw a bright triangular light in the sky&#44 very high up.  It was doing loops and,1963,7,17
-88.7033333,34.2575,7/20/1963 19:30,tupelo,ms,us,disk,3600,12 year old Girl and family sees Disc over high-power lines,1963,7,20
-122.3983333,45.5872222,8/20/1963 2:30,camas,wa,us,unknown,900,Prune Hill&#44 Camas&#44 Washington&#44 a rural area above the Columbia River and across the river from PDX--I was in bed in a daylight basement,1963,8,20
-85.1647222,34.2569444,12/10/1963 23:00,rome,ga,us,oval,1200,An unmistakable sighting of a silent craft that followed us for 3miles&#44 stopped hovered and accelerated out of sight straight up.,1963,12,10
-116.9763889,33.9725,3/29/1964 21:00,cherry valley,ca,us,circle,1200,Little girl wakes up to lights and sees UFO.,1964,3,29
-84.0638889,42.8786111,4/15/1964 20:30,bancroft,mi,us,light,1200,We were surrounded by these UFOs.,1964,4,15
-117.8894444,34.09,5/15/1964 15:00,covina,ca,us,cigar,300,SLOWLY ROTATING CIGAR SHAPED METALLIC &#44DAYLIGHT LOW ALTITUDE OBJECT,1964,5,15
-97.2688889,32.7994444,6/1/1964 4:30,haltom city,tx,us,light,600,Light beam travel across roof-tops...1964.,1964,6,1
